keys,pt_BR
MENU_TITLE_CORRE,CORRE
MENU_TITLE_PRO_PONTO,PRO PONTO
MENU_SUBTITLE,runner 3D brasileiro
MENU_PLAY_NOW,CORRER AGORA
MENU_MAP,MAPA
MENU_SHOP,LOJA
MENU_ACHIEVEMENTS,CONQUISTAS
MENU_DAILY,DESAFIOS
MENU_HOW_TO,COMO JOGAR
MENU_STARS,★ %03d / 150
MENU_COINS,R$ %03d
MENU_STREAK,🔥 %02d dias
MENU_LEVEL,NÍVEL %02d • XP %d/%d
MENU_FOOTER,ônibus impossível • humor brasileiro • câmera 3D
MAP_TITLE,MAPA 3D
MAP_FOOTER,ESQUERDA = RUA   •   CENTRO/DIREITA = CALÇADA
MAP_NEXT_UNLOCK,próximo marco: ★ %d
MAP_ALL_UNLOCK,todos os marcos liberados
MAP_DIFFICULTY,DIF %s
RUN_PHASE,%02d  %s
RUN_RUA_CALCADA,RUA / CALÇADA
RUN_PAUSED,PAUSA NO PONTO
RUN_CONTINUE,CONTINUAR
RUN_STOP_TITLE,CHEGOU NO PONTO!
RUN_STOP_WAIT,o ônibus sai em
RUN_STOP_BUTTON,PEGAR O BUSÃO
RESULTS_SUCCESS,PEGUEI O BUSÃO!
RESULTS_FAIL,O BUSÃO FOI EMBORA
RESULTS_TIP_RUA,Rua = mais obstáculos e mais moedas
RESULTS_TIP_CALCADA,Calçadas = leitura e atalhos
RESULTS_REVIVE,▶ REVIVER COM ANÚNCIO (1×)
RESULTS_REVIVE_LOADING,REVIVER • CARREGANDO...
RESULTS_DOUBLE,2× MOEDAS COM ANÚNCIO +%d
RESULTS_DOUBLE_LOADING,2× MOEDAS • CARREGANDO...
RESULTS_MAP,MAPA
RESULTS_RETRY,TENTAR DE NOVO
RESULTS_MENU,MENU PRINCIPAL
RESULTS_DICA,DICA 3D
SHOP_TITLE,LOJA DO PONTO
SHOP_TAB_CHARACTERS,PERSONAGENS
SHOP_TAB_ITEMS,ITENS
SHOP_TAB_PACKS,PACOTES
SHOP_REMOVE_ADS,REMOVER ANÚNCIOS R$ 9.90
SHOP_REMOVE_ADS_OWNED,✓ SEM ANÚNCIOS
SHOP_RESTORE,RESTAURAR
SHOP_BACK,VOLTAR
REVIVE_TITLE,VOLTAR AO PONTO?
REVIVE_DESC,o busão quase foi — assista para reviver
REVIVE_WATCH,ASSISTIR (-30s)
REVIVE_GIVE_UP,DESISTIR
REVIVE_TIMER,%d s
REVIVE_INVINCIBLE,5 s invencível
HOWTO_TITLE,COMO JOGAR
HOWTO_SUBTITLE,MUNDO 3D
LANG_PT,PT-BR
LANG_EN,EN-US
CHEST_TITLE,BAÚ DIÁRIO
CHEST_CLAIM,ABRIR BAÚ
CHEST_CLAIMED,BAÚ ABERTO
CHEST_REWARD,+%d R$ +%d Rubi
WEEKLY_EVENT_TITLE,EVENTO DA SEMANA
WEEKLY_EVENT_BONUS,Bônus semanal
FEATURED_ITEM,DESTAQUE DA SEMANA
FEATURED_DISCOUNT,15% OFF
REROLL,RERROLAR COR 40 R$
SKIN_EXTRA,SKIN EXTRA 80 Rubi
RUBI_LABEL,Rubi %d
AUDIT_OK,ECONOMIA +32% SEM PAYWALL
