keys,en_US
MENU_TITLE_CORRE,RUN
MENU_TITLE_PRO_PONTO,FOR THE BUS
MENU_SUBTITLE,brazilian 3D runner
MENU_PLAY_NOW,RUN NOW
MENU_MAP,MAP
MENU_SHOP,SHOP
MENU_ACHIEVEMENTS,ACHIEVEMENTS
MENU_DAILY,DAILY
MENU_HOW_TO,HOW TO PLAY
MENU_STARS,★ %03d / 150
MENU_COINS,R$ %03d
MENU_STREAK,🔥 %02d days
MENU_LEVEL,LEVEL %02d • XP %d/%d
MENU_FOOTER,impossible bus • brazilian humor • 3D camera
MAP_TITLE,3D MAP
MAP_FOOTER,LEFT = STREET • CENTER/RIGHT = SIDEWALK
MAP_NEXT_UNLOCK,next unlock: ★ %d
MAP_ALL_UNLOCK,all milestones unlocked
MAP_DIFFICULTY,DIFF %s
RUN_PHASE,%02d  %s
RUN_RUA_CALCADA,STREET / SIDEWALK
RUN_PAUSED,PAUSED AT STOP
RUN_CONTINUE,CONTINUE
RUN_STOP_TITLE,REACHED THE STOP!
RUN_STOP_WAIT,bus leaves in
RUN_STOP_BUTTON,CATCH THE BUS
RESULTS_SUCCESS,CAUGHT THE BUS!
RESULTS_FAIL,BUS LEFT
RESULTS_TIP_RUA,Street = more obstacles and more coins
RESULTS_TIP_CALCADA,Sidewalks = reading and shortcuts
RESULTS_REVIVE,▶ REVIVE WITH AD (1×)
RESULTS_REVIVE_LOADING,REVIVE • LOADING...
RESULTS_DOUBLE,2× COINS WITH AD +%d
RESULTS_DOUBLE_LOADING,2× COINS • LOADING...
RESULTS_MAP,MAP
RESULTS_RETRY,RETRY
RESULTS_MENU,MAIN MENU
RESULTS_DICA,3D TIP
SHOP_TITLE,STOP SHOP
SHOP_TAB_CHARACTERS,CHARACTERS
SHOP_TAB_ITEMS,ITEMS
SHOP_TAB_PACKS,PACKS
SHOP_REMOVE_ADS,REMOVE ADS $1.99
SHOP_REMOVE_ADS_OWNED,✓ NO ADS
SHOP_RESTORE,RESTORE
SHOP_BACK,BACK
REVIVE_TITLE,BACK TO STOP?
REVIVE_DESC, bus almost left — watch to revive
REVIVE_WATCH,WATCH (-30s)
REVIVE_GIVE_UP,GIVE UP
REVIVE_TIMER, %d s
REVIVE_INVINCIBLE,5 s invincible
HOWTO_TITLE,HOW TO PLAY
HOWTO_SUBTITLE,3D WORLD
LANG_PT,PT-BR
LANG_EN,EN-US
CHEST_TITLE,DAILY CHEST
CHEST_CLAIM,OPEN CHEST
CHEST_CLAIMED,CHEST OPENED
CHEST_REWARD,+%d coins +%d Rubi
WEEKLY_EVENT_TITLE,WEEKLY EVENT
WEEKLY_EVENT_BONUS,Weekly bonus
FEATURED_ITEM,WEEKLY FEATURED
FEATURED_DISCOUNT,15% OFF
REROLL,REROLL COLOR 40 coins
SKIN_EXTRA,EXTRA SKIN 80 Rubi
RUBI_LABEL,Rubi %d
AUDIT_OK,ECONOMY +32% NO PAYWALL
